,ID,Dates,city,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,at_soyu,Mevsim,KG,K,DB,SK,SKG,GKR,YP,TGK,ÖG,SGKR,Winner
8888,UN AMOR(5) KG  K  ,2018-10-13,İzmir,ADEM ŞEN,ADEM ŞEN,True,1,92.82,9.1,910,6,0.0,0,100,58,9,11,11,11,31,6.0,5.0,10.0,3.0,3.0,8,0,0,3,1,0,0,37,12,15.083,15.452,0.0,15.9353,15.7315,6,58,2,akşam,2,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8889,ARMAROJA(13) KG  K    ,2018-10-14,Adana,S.ERKUŞ,S.ERKUŞ,True,1,127.99,4.05,405,6,1.0,2,92,66,8,9,9,9,26,6.0,14.0,13.0,4.0,5.0,11,0,0,2,1,0,0,18,9,14.8449,0.0,15.6128,15.6006,15.5597,6,66,10,akşam,3,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8890,MUNKHBAT(9) KG  K  ,2018-10-16,Kocaeli,N.ŞEN,N.ŞEN,True,1,77.23,13.5,1350,4,4.0,9,40,80,11,11,11,11,33,4.0,4.0,2.0,0.0,0.0,3,0,1,0,2,0,33,0,66,15.538,15.4134,15.54,0.0,0.0,4,80,5,akşam,2,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8891,TUMBULGÜL(9) KG  ,2018-10-14,Adana,F.R.BEBEK,F.R.BEBEK,True,1,88.47,27.65,2765,10,1.0,10,35,40,6,9,10,9,25,10.0,9.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,13.5639,13.1622,0.0,0.0,0.0,10,40,9,akşam,3,k,d,kd,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8892,HİSARALAN(8) KG  DB  SK  ,2018-10-13,İzmir,E.EMRE DOĞRU,E.EMRE DOĞRU,True,1,94.21,31.25,3125,8,0.0,0,100,41,6,7,6,9,19,8.0,14.0,8.0,13.0,0.0,4,0,0,0,0,0,0,0,0,12.7375,13.8472,14.0906,12.957,0.0,8,41,1,öğle,3,d,d,dd,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8893,EFECANBEY(2) KG  SK  ,2018-10-13,İzmir,Y.ARAS,Y.ARAS,True,1,99.22,18.3,1830,9,0.0,0,100,33,5,4,5,8,14,9.0,9.0,12.0,13.0,7.0,8,0,0,0,0,0,0,0,0,12.0943,13.995,10.7491,13.0969,13.6426,9,33,1,öğle,3,d,e,de,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8894,ÖZGE HATUN(5) KG  SK    ,2018-10-16,Kocaeli,D.AYDOĞAN,D.AYDOĞAN,True,1,91.23,3.1,310,6,0.0,0,100,66,8,8,9,9,25,6.0,6.0,4.0,7.0,0.0,4,0,0,0,1,0,0,0,25,13.1536,15.0905,14.7726,13.3171,0.0,6,66,1,öğle,3,k,d,kd,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8895,KARENCAN(1) KG  SK    ,2018-10-16,Kocaeli,A.CAN İŞLEYEN,A.CAN İŞLEYEN,True,1,95.07,2.9,290,8,0.0,0,100,53,7,9,8,10,24,8.0,9.0,10.0,0.0,0.0,3,0,0,0,0,0,0,0,0,12.6223,13.1536,0.0,0.0,0.0,8,53,1,öğle,3,k,d,kd,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8896,OĞLUM ÇAĞLAR(9) KG  DB  ,2018-10-21,Adana,V.DEMİR,V.DEMİR,True,1,98.7,9.05,905,8,4.0,6,58,41,7,8,7,9,22,8.0,4.0,5.0,9.0,7.0,13,1,1,1,3,7,7,7,23,15.1976,15.2192,14.943,14.9339,15.5782,8,41,6,akşam,3,a,e,ae,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8897,MALDİV(9) KG  K  ,2018-10-14,Adana,H.ÇİZİK,H.ÇİZİK,True,1,85.14,14.0,1400,5,3.0,8,50,73,12,11,12,11,35,5.0,8.0,3.0,8.0,8.0,8,1,1,1,0,12,12,12,0,14.0944,13.4827,14.1182,13.6319,13.6842,5,73,6,akşam,3,d,e,de,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8898,KÜÇÜK SELVER(13) KG  GKR    ,2018-10-21,Adana,R.BAYRAM,R.BAYRAM,True,1,93.24,5.8,580,11,0.0,2,91,16,2,3,4,5,9,11.0,8.0,10.0,11.0,13.0,6,0,0,0,0,0,0,0,0,13.9425,13.2607,12.0253,13.7307,12.8766,11,16,5,akşam,4,k,k,kk,sonbahar,1,0,0,0,0,1,0,0,0,0,0
8899,ÜZÜMBAĞI(12) KG  ,2018-10-21,Adana,L.TAPTIK,L.TAPTIK,True,1,89.18,27.0,2700,9,1.0,9,33,33,0,5,9,1,14,9.0,6.0,7.0,13.0,15.0,17,1,0,1,1,5,0,5,5,14.5773,14.2504,14.6735,13.2162,14.123,9,33,5,akşam,4,a,k,ak,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8900,ENDERGÜL(2) KG  DB  ,2018-10-14,Diyarbakır,N.ALTIN,N.ALTIN,True,1,99.05,12.3,1230,13,3.0,9,33,0,13,12,11,10,36,13.0,9.0,11.0,10.0,6.0,18,1,4,2,2,5,22,11,11,12.1151,13.069,0.0,13.5318,12.8031,13,0,6,öğle,4,k,k,kk,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8901,GÜLŞİLAN(7) KG  SK  ,2018-10-14,Diyarbakır,F.FELHAN,F.FELHAN,True,1,91.09,8.1,810,11,5.0,7,50,16,6,6,6,7,18,11.0,10.0,3.0,3.0,3.0,16,1,1,6,1,6,6,37,6,13.1738,12.7416,13.5111,13.4698,13.0699,11,16,6,öğle,4,k,k,kk,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8902,MİYASE HATUN(9) KG  ,2018-10-21,Adana,E.TUNÇ,E.TUNÇ,True,1,85.07,83.5,8350,12,1.0,12,8,8,7,8,8,9,23,12.0,11.0,6.0,12.0,9.0,10,0,0,1,0,0,0,10,0,14.106,13.1499,13.8344,13.9581,14.2264,12,8,4,akşam,3,a,d,ad,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8903,ÇAKABEY(4) SKG  SK  ,2018-10-14,Diyarbakır,İ.KATI,İ.KATI,True,1,78.12,9.9,990,8,2.0,8,41,41,7,7,8,8,22,8.0,11.0,11.0,10.0,6.0,60,6,8,3,9,10,13,5,15,15.360999999999999,13.7804,13.5593,15.4047,15.4525,8,41,5,öğle,5,a,a,aa,sonbahar,0,0,0,1,1,0,0,0,0,0,0
8904,ARSLAN DÜNYASI(1) KG  K  ,2018-10-21,Adana,F.R.BEBEK,F.R.BEBEK,True,1,86.36,35.05,3504,12,2.0,8,41,8,6,9,10,9,25,12.0,6.0,6.0,7.0,6.0,10,0,0,0,0,0,0,0,0,13.8953,12.5818,12.966,12.5094,12.9983,12,8,2,öğle,3,k,d,kd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8905,İNSUYU(8) KG  DB  ,2018-10-18,İzmir,Ç.OK,Ç.OK,True,1,101.11,19.25,1925,9,1.0,10,30,46,8,8,9,10,25,9.0,11.0,8.0,12.0,13.0,55,3,2,8,6,5,3,14,10,13.8463,13.6999,13.6705,13.2802,13.9114,9,46,6,akşam,6,k,a,ka,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8906,CANBERKHAN(6) KG  DB  SK  ,2018-10-21,Adana,KEMAL KURT,F.FELHAN,False,0,126.09,33.8,3379,5,2.0,7,50,66,6,7,8,8,21,12.0,5.0,9.0,11.0,6.0,75,6,6,9,8,8,8,12,10,0.0,15.0686,0.0,0.0,14.4907,5,66,1,öğle,6,d,a,da,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8907,SABAH GÜNEŞİ(9) KG  K  DB  ,2018-10-15,Bursa,M.DEMİRBAŞ,M.DEMİRBAŞ,True,1,102.29,16.85,1685,9,1.0,9,33,33,11,10,10,10,31,9.0,11.0,13.0,15.0,6.0,5,0,0,0,0,0,0,0,0,12.709000000000001,13.2861,14.2366,12.9918,0.0,9,33,8,öğle,3,k,d,kd,sonbahar,1,1,1,0,0,0,0,0,0,0,0
8908,VİNDIRHAT(3) KG  K  ,2018-10-14,Diyarbakır,M.CANPOLAT,M.CANPOLAT,True,1,134.13,2.2,220,6,22.0,2,91,58,2,5,7,9,14,6.0,3.0,4.0,4.0,7.0,56,11,13,9,6,19,23,16,10,13.4198,13.8169,13.7429,13.6968,13.3848,6,58,2,öğle,6,a,a,aa,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8909,TANTİK(15) DB    ,2018-10-18,İzmir,Ç.OK,Ç.OK,True,1,131.42,15.8,1580,13,2.0,8,46,19,8,8,9,10,25,13.0,10.0,3.0,7.0,12.0,6,0,0,2,0,0,0,33,0,15.2184,15.6336,16.3056,15.6753,16.0793,13,19,5,akşam,3,d,d,dd,sonbahar,0,0,1,0,0,0,0,0,0,0,0
8910,DEFNE(16) KG  K  ,2018-10-18,İzmir,A.C. İNAN,A.C. İNAN,True,1,137.18,84.5,8450,15,0.0,14,0,6,10,9,9,9,28,15.0,12.0,10.0,11.0,10.0,9,0,0,0,0,0,0,0,0,14.5794,15.1688,15.9744,15.3156,15.9927,15,6,5,akşam,3,a,d,ad,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8911,KAYNAKLI TURBO(10) KG  SK  ,2018-10-14,Diyarbakır,İ.AKYAVUZ,İ.AKYAVUZ,True,1,90.29,9.4,940,7,3.0,8,41,50,12,10,10,9,32,7.0,9.0,6.0,11.0,8.0,11,1,1,0,1,9,9,0,9,13.2905,13.6024,13.4409,13.1305,13.323,7,50,1,öğle,3,a,d,ad,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8912,ŞİMŞEĞİN KIZI(4) KG  GKR  ,2018-10-14,Diyarbakır,F.FELHAN,F.FELHAN,True,1,91.38,19.45,1945,9,2.0,9,33,33,6,6,6,7,18,9.0,13.0,8.0,6.0,12.0,13,1,0,0,1,7,0,0,7,13.132,12.9856,14.4124,14.4023,14.661,9,33,1,öğle,3,a,d,ad,sonbahar,1,0,0,0,0,1,0,0,0,0,0
8913,ALWAYS TRUE(1) KG  K  ,2018-10-18,İzmir,B.KURDU,B.KURDU,True,1,125.71,1.05,105,1,45.0,1,100,100,11,11,10,11,32,1.0,2.0,1.0,6.0,3.0,6,2,1,1,0,33,16,16,0,15.9096,16.2167,16.2045,16.7341,16.125999999999998,1,100,5,akşam,3,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,1
8914,YAKALA BENİ(7) KG  DB  ,2018-10-18,İzmir,A.C.DAĞDEVİREN,A.C.DAĞDEVİREN,True,1,119.5,8.3,830,13,6.0,6,61,19,8,11,9,10,28,13.0,5.0,1.0,2.0,6.0,7,1,1,0,0,14,14,0,0,11.7155,13.9832,14.2281,14.007,14.5219,13,19,4,akşam,3,a,d,ad,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8915,TÜRKŞAD(6) SK  ,2018-10-15,Bursa,BURAK AKÇAY,BURAK AKÇAY,True,1,103.11,24.4,2440,10,1.0,10,25,25,9,9,8,9,26,10.0,9.0,15.0,10.0,10.0,22,1,3,2,3,4,13,9,13,13.5777,13.9825,12.7494,14.1685,13.0719,10,25,6,öğle,3,d,e,de,sonbahar,0,0,0,1,0,0,0,0,0,0,0
8916,UFUKTAN(4) KG  ,2018-10-18,İzmir,MER.ÇELİK,MER.ÇELİK,True,1,100.63,10.3,1030,5,3.0,9,38,73,13,13,12,11,38,5.0,4.0,5.0,1.0,4.0,5,1,0,0,2,20,0,0,40,13.9124,13.9876,13.9878,14.2266,14.1303,5,73,4,akşam,3,k,e,ke,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8917,FAROY(7) KG  DB  ,2018-10-21,İstanbul,N.AVCİ,N.AVCİ,True,1,82.18,32.0,3200,11,2.0,9,33,16,9,10,11,11,30,11.0,14.0,3.0,1.0,9.0,8,1,1,1,0,12,12,12,0,14.6021,14.5702,14.4196,15.3945,14.2857,11,16,5,öğle,3,k,d,kd,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8918,MİRHAN(12) KG  DB  SK  ,2018-10-15,Bursa,V.YÜCEL,V.YÜCEL,True,1,98.35,34.1,3410,12,1.0,11,16,8,7,8,9,10,24,12.0,12.0,17.0,14.0,3.0,16,1,0,2,1,6,0,12,6,13.2181,13.4381,12.6214,12.1928,13.6412,12,8,5,öğle,4,a,a,aa,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8919,İPOŞ(4) KG  SK  ,2018-10-21,İstanbul,MÜS.ÇELİK,MÜS.ÇELİK,True,1,76.45,22.8,2280,11,3.0,8,41,16,14,13,13,12,40,11.0,6.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,15.6965,15.3355,0.0,0.0,0.0,11,16,4,öğle,2,d,d,dd,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8920,VENİ VİDİ VİCİ(12) KG  SK  ,2018-10-15,Bursa,R.CİHAN,R.CİHAN,True,1,122.9,25.5,2550,9,1.0,11,16,33,7,10,11,10,28,9.0,8.0,13.0,12.0,10.0,15,1,0,2,4,6,0,13,26,13.8324,13.4953,13.4353,12.1076,12.5267,9,33,4,öğle,4,d,k,dk,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8921,HIZLI ŞERİF(5) KG  DB  ,2018-10-15,Bursa,İ.DİNAR,İ.DİNAR,True,1,91.66,7.55,755,7,1.0,6,58,50,6,6,7,8,19,7.0,7.0,7.0,0.0,0.0,3,0,0,0,0,0,0,0,0,14.1828,14.8441,14.610999999999999,0.0,0.0,7,50,3,öğle,3,d,e,de,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8922,GREEN GULET(4) SK  ,2018-10-21,İstanbul,B.AVERBAK,Z.KARABULUT,False,0,141.61,18.2,1820,7,4.0,5,66,50,7,7,9,10,23,11.0,18.0,8.0,9.0,7.0,33,2,2,1,2,6,6,3,6,0.0,0.0,0.0,0.0,14.8295,7,50,1,öğle,4,a,k,ak,sonbahar,0,0,0,1,0,0,0,0,0,0,0
8923,MÜNAYİM(12) KG  SK  GKR  ,2018-10-15,Bursa,S.ULUTAŞ,S.ULUTAŞ,True,1,142.77,51.05,5105,10,1.0,11,16,25,3,2,2,7,7,10.0,10.0,12.0,6.0,11.0,19,1,0,1,0,5,0,5,0,12.6077,12.7968,13.4743,13.6209,12.7768,10,25,2,öğle,4,k,a,ka,sonbahar,1,0,0,1,0,1,0,0,0,0,0
8924,PRETTY BLUE EYES(12) DB  SK  ,2018-11-10,İzmir,A.KÜRÜNDÜK,H.GÜN,False,0,104.99,45.85,4585,10,1.0,11,8,18,8,8,7,8,23,8.0,10.0,7.0,6.0,7.0,12,1,2,0,0,8,16,0,0,15.5304,15.2395,15.2701,15.6407,15.7675,10,18,7,akşam,3,a,d,ad,sonbahar,0,0,1,1,0,0,0,0,0,0,0
8925,LUPULUI(8) K  ,2018-11-10,İzmir,T.YILDIZ,T.YILDIZ,True,1,102.61,4.6,459,7,6.0,6,50,45,12,11,11,10,34,7.0,4.0,10.0,3.0,10.0,6,0,1,1,1,0,16,16,16,15.593,15.6128,15.8538,16.2885,16.1812,7,45,7,akşam,3,d,e,de,sonbahar,0,1,0,0,0,0,0,0,0,0,0
8926,DECARLO(12) KG  K  DB  ,2018-11-10,İzmir,M.GÖNÜLTAŞ,M.GÖNÜLTAŞ,True,1,153.9,24.95,2495,11,1.0,12,0,9,7,9,9,9,25,11.0,8.0,10.0,7.0,9.0,6,0,0,0,0,0,0,0,0,14.295,15.440999999999999,16.0342,15.8192,14.6461,11,9,5,akşam,3,d,e,de,sonbahar,1,1,1,0,0,0,0,0,0,0,0
8927,SAKİNEFE(7) KG  DB  GKR  ,2018-11-10,Ankara,H.KILIÇARSLAN,H.KILIÇARSLAN,True,1,84.75,13.1,1310,10,1.0,11,0,18,7,8,9,10,24,10.0,11.0,10.0,11.0,6.0,5,0,0,0,0,0,0,0,0,14.1593,13.6505,12.8483,14.2214,15.163,10,18,5,öğle,3,d,e,de,sonbahar,1,0,1,0,0,1,0,0,0,0,0
8928,BAMBAM(16) KG  DB  SK  ,2018-10-20,İzmir,MER.ÇELİK,H.KAPLAN,False,0,119.11,43.05,4305,12,1.0,13,14,26,13,13,12,11,38,11.0,12.0,11.0,6.0,3.0,32,1,1,4,2,3,3,12,6,14.4568,13.433,14.3008,14.0845,14.4741,12,26,9,akşam,5,a,a,aa,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8929,YASEMİNSULTAN(11) KG  DB  SK  ,2018-10-20,İzmir,MER.ÇELİK,MER.ÇELİK,True,1,86.42,40.8,4079,10,1.0,10,35,40,13,13,12,11,38,10.0,10.0,10.0,11.0,14.0,9,0,1,0,1,0,11,0,11,13.8857,14.2366,13.3613,12.1054,13.0053,10,40,8,akşam,3,a,d,ad,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8930,MEHLİKA TAY(9) KG  SK    ,2018-11-10,Ankara,M.G.ARSLAN,CEM ŞEN,False,0,101.32,9.05,905,10,1.0,7,39,18,5,6,7,6,18,11.0,10.0,11.0,10.0,13.0,13,1,0,0,3,7,0,0,23,13.9876,12.8306,13.1449,12.7334,12.847999999999999,10,18,2,öğle,3,a,d,ad,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8931,WAR LEGEND(4) KG  SK  ,2018-10-20,İzmir,N.AVCİ,A.OKAN PAZAR,False,0,130.27,15.65,1565,7,3.0,7,57,60,9,10,11,11,30,13.0,7.0,7.0,5.0,6.0,38,7,2,1,5,18,5,2,13,0.0,15.3527,14.059000000000001,16.1906,16.004,7,60,7,akşam,5,d,a,da,sonbahar,1,0,0,1,0,0,0,0,0,0,0
8932,BATUŞ KIZI(7) KG  ,2018-11-10,İzmir,A.C.DAĞDEVİREN,A.C.DAĞDEVİREN,True,1,124.18,10.25,1025,7,0.0,0,100,45,8,11,9,10,28,7.0,8.0,6.0,7.0,6.0,13,2,0,2,1,15,0,15,7,13.6898,14.6362,14.4447,13.2031,14.0562,7,45,1,öğle,4,a,k,ak,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8933,AĞBALIM(8) KG  K  ,2018-11-10,Ankara,M.KESKİN,M.KESKİN,True,1,112.94,44.5,4450,8,0.0,9,19,36,8,8,8,9,24,8.0,17.0,10.0,15.0,15.0,18,1,1,3,2,5,5,16,11,14.1668,0.0,14.1493,13.9105,9.9821,8,36,1,öğle,4,k,k,kk,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8934,HİCRAN GÜNÜ(10) KG  K  ,2018-10-18,Ankara,M.G.ARSLAN,M.G.ARSLAN,True,1,95.57,30.65,3065,10,0.0,9,11,0,5,6,7,6,18,10.0,8.0,8.0,7.0,13.0,7,0,0,0,0,0,0,0,0,12.5562,14.0302,14.2204,13.7516,13.312999999999999,10,0,8,öğle,3,k,e,ke,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8935,MASTER OF THE WIND(6) KG  K  ,2018-10-20,İzmir,GÖKH.GÖKÇE,GÖKH.GÖKÇE,True,1,86.15,18.6,1860,10,6.0,7,57,40,10,11,11,11,32,10.0,5.0,4.0,5.0,2.0,46,5,4,7,7,10,8,15,15,16.2507,16.3189,16.9038,16.7138,16.5906,10,40,5,akşam,4,d,k,dk,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8936,SIERRA MAESTRA(3) SKG  SK  ,2018-10-20,İzmir,Ç.OK,Ç.OK,True,1,87.31,48.9,4890,13,2.0,11,28,19,8,8,9,10,25,13.0,8.0,11.0,7.0,3.0,37,2,10,3,1,5,27,8,2,16.0348,16.4349,16.0864,16.5837,16.5677,13,19,5,akşam,4,d,k,dk,sonbahar,0,0,0,1,1,0,0,0,0,0,0
8937,APARAN KIZI(1) KG  ,2018-10-20,İzmir,M.GÖNÜLTAŞ,B.ULUKAN,False,0,89.56,28.7,2870,8,2.0,7,57,53,7,9,9,9,25,7.0,8.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,13.3988,13.0194,0.0,0.0,8,53,4,akşam,3,a,d,ad,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8938,DRAKULA(3) KG  K  ,2018-10-14,İstanbul,Y.PİLAVCILAR,Y.PİLAVCILAR,True,1,110.75,32.5,3250,12,0.0,12,0,0,8,7,8,7,23,12.0,9.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,14.447000000000001,15.3681,0.0,0.0,0.0,12,0,8,akşam,2,a,e,ae,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8939,PIRGOS(5) SKG  SK  ,2018-10-20,Ankara,A.ÇELİK,A.ÇELİK,True,1,97.06,5.05,505,2,12.0,5,60,90,17,15,14,12,46,2.0,6.0,4.0,2.0,1.0,20,6,5,4,2,30,25,20,10,16.4846,16.2277,16.281,15.9836,16.125,2,90,1,öğle,4,d,k,dk,sonbahar,0,0,0,1,1,0,0,0,0,0,0
8940,BAY SEMİH(6) KG  ,2018-10-20,İzmir,CEM ŞEN,CEM ŞEN,True,1,92.87,64.45,6445,8,1.0,7,57,53,7,7,7,8,21,8.0,15.0,14.0,15.0,14.0,17,0,0,0,0,0,0,0,0,13.9981,13.0316,13.1255,14.0195,14.437999999999999,8,53,2,öğle,4,k,a,ka,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8941,EXPECTED TIME(4) K  ,2018-10-18,Ankara,A.ÇELİK,A.ÇELİK,True,1,86.52,1.05,105,3,53.0,1,100,77,17,15,14,12,46,3.0,2.0,10.0,2.0,0.0,4,0,2,1,0,0,50,25,0,16.1812,16.3132,13.9545,16.5317,0.0,3,77,4,öğle,2,a,e,ae,sonbahar,0,1,0,0,0,0,0,0,0,0,0
8942,KARA ZAR(8) SKG  SK  ,2018-10-20,İzmir,T.BAĞCI,T.BAĞCI,True,1,83.32,93.05,9305,6,1.0,10,35,66,5,6,6,8,17,6.0,7.0,11.0,8.0,11.0,11,0,0,0,0,0,0,0,0,14.4023,14.3249,13.1086,14.2435,12.7663,6,66,1,öğle,3,k,d,kd,sonbahar,0,0,0,1,1,0,0,0,0,0,0
8943,KESKİNER(14) KG  DB  SK  ,2018-10-22,Bursa,F.KARAKURT,F.KARAKURT,True,1,172.71,30.2,3020,13,1.0,13,14,14,9,9,8,10,26,13.0,6.0,5.0,8.0,6.0,21,1,1,1,1,4,4,4,4,12.7381,14.0351,13.6268,14.5302,15.5885,13,14,9,öğle,4,a,a,aa,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8944,TUĞRABEY(12) KG  ,2018-10-22,Adana,C.A.MAYDA,C.A.MAYDA,True,1,93.59,76.85,7684,12,0.0,13,13,15,0,7,3,10,10,12.0,13.0,10.0,11.0,8.0,8,0,0,0,0,0,0,0,0,14.9589,14.4575,15.7409,15.5814,14.7016,12,15,5,akşam,3,d,e,de,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8945,YILMAZOĞLU(13) KG  K  ,2018-10-22,Adana,T.BALİ,T.BALİ,True,1,94.95,67.1,6709,13,0.0,12,19,7,2,2,6,6,10,13.0,10.0,8.0,13.0,10.0,5,0,0,0,0,0,0,0,0,14.7446,0.0,13.4428,14.8295,14.543,13,7,5,akşam,3,a,e,ae,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8946,GABRIEL(12) KG  K  DB  ,2018-10-22,Bursa,S.GÜLENYÜZLER,S.GÜLENYÜZLER,True,1,89.42,48.95,4895,11,0.0,13,14,28,6,7,7,6,20,11.0,9.0,13.0,7.0,0.0,4,0,0,0,0,0,0,0,0,15.6565,15.1221,15.9025,15.6828,0.0,11,28,5,öğle,3,d,d,dd,sonbahar,1,1,1,0,0,0,0,0,0,0,0
8947,FELAROF(7) SK  ,2018-10-22,Adana,MEH.PARLAK,MEH.PARLAK,True,1,143.6,19.35,1935,8,0.0,0,100,46,2,3,4,5,9,8.0,12.0,14.0,7.0,9.0,15,2,2,1,0,13,13,6,0,13.9276,14.6071,13.9665,14.8494,15.3394,8,46,1,öğle,3,d,d,dd,sonbahar,0,0,0,1,0,0,0,0,0,0,0
8948,HULDRA(10) SKG  SK  ,2018-10-13,Ankara,N.ŞEN,A.KURŞUN,False,0,80.46,26.2,2620,11,1.0,12,0,9,11,11,11,11,33,8.0,11.0,12.0,5.0,8.0,5,0,0,0,0,0,0,0,0,15.1995,14.9142,15.0086,13.9632,13.7804,11,9,9,öğle,2,a,d,ad,sonbahar,0,0,0,1,1,0,0,0,0,0,0
8949,SERABIM(3) KG  DB  SK  ,2018-10-22,Bursa,Z.BULUT,Z.BULUT,True,1,77.66,8.55,855,12,3.0,8,50,21,4,3,7,5,14,12.0,8.0,11.0,3.0,12.0,23,2,2,7,1,8,8,30,4,15.452,15.6635,15.3408,15.7409,16.5133,12,21,2,öğle,3,a,d,ad,sonbahar,1,0,1,1,0,0,0,0,0,0,0
8950,HATCHE(12) KG  K  ,2018-10-22,Bursa,Z.KARABULUT,Z.KARABULUT,True,1,73.66,4.1,409,9,16.0,3,85,42,7,6,6,8,19,9.0,2.0,4.0,10.0,15.0,41,1,6,4,7,2,14,9,17,16.2911,16.449,15.9337,15.9147,16.6177,9,42,2,öğle,4,d,k,dk,sonbahar,1,1,0,0,0,0,0,0,0,0,0
8951,BERAT SULTAN(7),2018-10-13,Ankara,A.KAÇMAZ,A.KAÇMAZ,True,1,77.29,12.05,1205,5,3.0,7,45,63,9,10,11,10,30,5.0,5.0,8.0,0.0,0.0,3,0,0,0,0,0,0,0,0,15.5259,15.3728,14.3421,0.0,0.0,5,63,9,öğle,2,d,d,dd,sonbahar,0,0,0,0,0,0,0,0,0,0,0
8952,MY NUMBER(4) KG  ,2018-10-14,İstanbul,M.KURT,M.KURT,True,1,94.73,7.25,725,5,0.0,0,100,63,4,5,4,6,13,5.0,12.0,9.0,6.0,10.0,39,1,3,4,2,2,7,10,5,15.8345,15.9347,15.4547,16.1663,16.6923,5,63,2,öğle,4,d,a,da,sonbahar,1,0,0,0,0,0,0,0,0,0,0
8953,PEKİN GOLD(11) KG  DB  ,2018-10-22,Bursa,N.AVCİ,N.AVCİ,True,1,73.22,2.5,250,6,19.0,2,92,64,9,10,11,11,30,6.0,5.0,8.0,5.0,3.0,32,1,4,6,1,3,12,18,3,16.389,16.9062,16.1751,16.8553,16.5581,6,64,2,öğle,4,d,k,dk,sonbahar,1,0,1,0,0,0,0,0,0,0,0
8954,CRYSTAL FIDDLE(7) KG  DB  ,2018-10-22,Bursa,T.ALICI,N.AVCİ,False,0,72.72,7.4,740,5,4.0,7,57,71,7,8,8,10,23,17.0,5.0,5.0,6.0,5.0,11,1,0,0,0,9,0,0,0,0.0,16.5017,15.3754,16.0245,16.4339,5,71,2,öğle,3,a,d,ad,sonbahar,1,0,1,0,0,0,0,0,0,0,0
